STATE_NAME,DISTRICT_NAME,PMGSY_SCHEME,NO_OF_ROAD_WORK_SANCTIONED,NO_OF_BRIDGES_SANCTIONED,NO_OF_ROAD_WORKS_COMPLETED,NO_OF_BRIDGES_COMPLETED,NO_OF_ROAD_WORKS_BALANCE,NO_OF_BRIDGES_BALANCE,LENGTH_OF_ROAD_WORK_SANCTIONED_KM,COST_OF_WORKS_SANCTIONED_LAKHS,LENGTH_OF_ROAD_WORK_COMPLETED_KM,EXPENDITURE_OCCURED_LAKHS,LENGTH_OF_ROAD_WORK_BALANCE_KM
Haryana,Jind,PMGSY-III,19,0,19,0,0,0,246.687,125.83535,243.951,108.7085,0
Haryana,Kurukshetra,PMGSY-III,10,0,10,0,0,0,93.27,35.2041,90.858,31.5763,0
Haryana,Rewari,PMGSY-III,2,0,1,0,1,0,16.78,11.37276,16.555,7.8216,0.225
Haryana,Rohtak,PMGSY-II,2,0,2,0,0,0,18.432,13.7,18.112,9.4461,0
Haryana,"Yamuna Nagar",PMGSY-II,5,0,5,0,0,0,53.24,56.8816,53.24,47.2958,0
"Himachal Pradesh",Chamba,PMGSY-I,341,14,333,10,8,4,2046.815,889.82753,1987.928,820.2086,20.635
"Himachal Pradesh",Chamba,PMGSY-III,23,1,2,0,21,1,222.726,247.27611,57.16,57.8426,165.566
"Himachal Pradesh",Hamirpur,PMGSY-I,151,6,151,6,0,0,759.038,227.8936,753.124,218.0725,0
"Himachal Pradesh",Hamirpur,PMGSY-II,9,0,9,0,0,0,80.406,64.7617,80.406,62.1372,0
"Himachal Pradesh",Hamirpur,PMGSY-III,21,0,0,0,21,0,177.91,175.77795,0,9.649,177.91
"Himachal Pradesh",Kangra,PMGSY-II,24,0,24,0,0,0,234.39,156.6955,234.025,151.5347,0
"Himachal Pradesh",Kinnaur,PMGSY-I,59,1,55,1,4,0,503.72,172.70948,468.3,160.7249,15.485
"Himachal Pradesh","Lahul And Spiti",PMGSY-II,2,0,2,0,0,0,31.115,31.4474,30.8,33.2482,0
"Himachal Pradesh",Mandi,PMGSY-I,621,18,620,18,1,0,3818.94,1295.1334,3722.059,1238.3297,2.2
"Himachal Pradesh",Mandi,PMGSY-III,29,0,1,0,28,0,362.1,359.57493,28.07,25.5881,334.03
"Himachal Pradesh",Sirmaur,PMGSY-I,238,8,238,8,0,0,1618.913,543.4419,1595.028,509.2039,0
"Himachal Pradesh",Solan,PMGSY-II,9,0,9,0,0,0,71.265,52.1855,71.265,53.9967,0
"Himachal Pradesh",Una,PMGSY-I,181,23,181,23,0,0,988.735,382.4297,985.008,357.7341,0
"Jammu And Kashmir",Doda,PMGSY-III,10,1,5,0,5,1,110.42,129.675,40.45,80.2605,69.97
"Jammu And Kashmir",Jammu,PMGSY-II,15,4,15,4,0,0,57.05,55.0959,57,43.1974,0
"Jammu And Kashmir",Kishtwar,PMGSY-I,127,25,97,17,30,8,1281.54,893.67974,1103.195,717.6018,157.87
"Jammu And Kashmir",Kupwara,PMGSY-III,15,0,6,0,9,0,125.756,109.80046,49.73,51.548,75.516
"Jammu And Kashmir",Shopian,PMGSY-III,12,1,9,0,3,1,84.854,101.90697,81.958,83.4914,2.37
"Jammu And Kashmir",Srinagar,PMGSY-II,1,0,1,0,0,0,7,4.625,4.2,2.2908,0
Jharkhand,Dumka,RCPLWEA,9,2,9,2,0,0,57.803,48.7926,57.803,43.3092,0
Jharkhand,Garhwa,RCPLWEA,14,23,12,21,2,2,136.506,150.98917,124.906,92.3208,11.6
Jharkhand,Godda,PMGSY-II,8,1,8,1,0,0,72.92,42.7545,71.892,36.6694,0
Jharkhand,Gumla,PMGSY-II,4,2,4,2,0,0,44.75,29.5097,44.75,22.2428,0
Jharkhand,Hazaribagh,PMGSY-I,417,24,417,23,0,1,1448.699,533.36559,1429.078,461.3652,0
Jharkhand,Hazaribagh,PMGSY-III,16,7,6,0,10,7,190.09,160.63616,80.94,83.5711,109.155
Jharkhand,Koderma,PMGSY-I,78,6,78,6,0,0,398.911,143.08113,380.066,121.5654,0
Jharkhand,Latehar,PMGSY-I,215,22,210,21,5,1,979.791,379.03615,950.07,356.2101,14.4
Jharkhand,Latehar,PMGSY-III,15,13,0,0,15,13,146.116,109.45159,10.158,36.6202,135.958
Jharkhand,Lohardaga,RCPLWEA,18,14,11,8,7,6,172.155,173.70821,137.955,133.6657,34.2
Jharkhand,Pakur,PMGSY-III,13,2,12,0,1,2,130.15,90.4895,129.915,100.9017,0.235
Jharkhand,Palamu,RCPLWEA,14,10,6,7,8,3,110.547,141.3135,78.095,121.6331,31.349
Jharkhand,"Purbi Singhbhum",PMGSY-II,9,0,9,0,0,0,86.175,55.34982,85.446,43.243,0
Jharkhand,Ramgarh,PMGSY-II,3,0,3,0,0,0,42.7,26.83655,42.43,20.65,0
Jharkhand,Sahibganj,PMGSY-III,23,6,6,0,17,6,196.575,140.8152,52.75,73.4488,143.825
Jharkhand,"Saraikela Kharsawan",PMGSY-I,200,3,196,3,4,0,675.932,226.6499,616.539,197.7627,13.528
Jharkhand,"Saraikela Kharsawan",RCPLWEA,15,9,13,7,2,2,131.527,110.35551,128.097,109.0983,3.43
Jharkhand,"Saraikela Kharsawan",PMGSY-III,17,2,3,0,14,2,159.875,96.29145,80.27,58.7,79.6
Jharkhand,Simdega,PMGSY-III,8,2,3,0,5,2,95.037,75.24856,48.359,50.9956,46.428
Karnataka,Bagalkot,PMGSY-III,34,12,27,12,7,0,208.76,130.58325,189.094,126.6015,16.89
Karnataka,"Bangalore R",PMGSY-II,12,0,12,0,0,0,69.68,25.1195,68.603,25.6851,0
Karnataka,"Bangalore U",PMGSY-I,62,0,62,0,0,0,330.9,73.1629,330.9,81.0467,0
Karnataka,Belgaum,PMGSY-I,152,1,152,1,0,0,822.41,153.6108,822.21,155.1956,0
Karnataka,Belgaum,PMGSY-II,18,0,18,0,0,0,123.41,58.9269,120.54,58.9131,0
Karnataka,Belgaum,PMGSY-III,52,1,49,1,3,0,360.327,219.20854,339.297,199.4566,10.307
Karnataka,Bidar,PMGSY-III,35,0,32,0,3,0,189.06,102.67988,178.621,90.8628,8.16
Karnataka,Chamarajanagar,PMGSY-III,17,0,17,0,0,0,111.285,57.26696,108.93,56.9493,0
Karnataka,Davanagere,PMGSY-III,19,1,18,1,1,0,184.239,118.95733,179.899,115.9278,2.1
Karnataka,Gadag,PMGSY-I,55,0,55,0,0,0,417.46,82.8703,417.46,98.2365,0
Karnataka,Haveri,PMGSY-I,112,1,112,1,0,0,705.52,162.3088,705.543,195.5453,0
Karnataka,Haveri,PMGSY-III,26,4,20,3,6,1,213.83,149.84251,191.149,115.3226,17.481
Karnataka,Kodagu,PM-JANMAN,12,0,0,0,12,0,13.19,11.83807,0,0,13.19
Karnataka,Kolar,PMGSY-I,103,0,103,0,0,0,614.29,117.9051,614.53,125.7489,0
Karnataka,Kolar,PMGSY-III,20,0,20,0,0,0,159.655,95.16425,159.647,92.9519,0
Karnataka,Koppal,PMGSY-I,103,2,103,2,0,0,535.45,115.1323,535.45,115.97,0
Karnataka,Mysore,PMGSY-III,34,2,29,2,5,0,205.611,135.56569,183.761,130.3173,18.805
Karnataka,Shimoga,PMGSY-I,169,0,169,0,0,0,735.48,159.3763,735.635,189.7799,0
Karnataka,Shimoga,PMGSY-II,13,1,13,1,0,0,100.89,48.1741,97.695,43.6212,0
Karnataka,Shimoga,PMGSY-III,31,6,30,5,1,1,190.025,133.15624,175.221,121.3749,1.18
Karnataka,"Uttara Kannada",PMGSY-II,15,0,15,0,0,0,90,51.3631,89.14,43.5927,0
Kerala,Ernakulam,PMGSY-III,26,1,5,0,21,1,146.379,118.90189,45.512,32.0208,99.898
Kerala,Kannur,PMGSY-I,131,0,131,0,0,0,367.308,156.0058,365.138,194.083,0
Kerala,Kasaragod,PMGSY-II,8,0,6,0,2,0,39.141,31.55872,30.203,22.9404,8.938
Kerala,Kozhikode,PMGSY-II,9,0,9,0,0,0,28.656,27.23771,28.448,23.9511,0
Kerala,Malappuram,PMGSY-I,136,0,136,0,0,0,344.148,149.7968,338.265,162.9113,0
Kerala,Pathanamthitta,PMGSY-I,78,0,75,0,3,0,186.627,88.0831,174.127,106.5896,8
Ladakh,Kargil,PMGSY-I,88,2,83,2,5,0,624.385,488.9227,594.99,442.2754,13.5
Ladakh,Kargil,PMGSY-II,8,1,6,1,2,0,43.3,54.9769,41.85,47.1125,1.6
Ladakh,Kargil,PMGSY-III,27,0,1,0,26,0,209.43,228.9736,12.7,21.2088,196.73
"Madhya Pradesh",Agar,PMGSY-II,4,6,4,6,0,0,78.47,55.9781,77.614,50.1109,0
"Madhya Pradesh",Anuppur,PMGSY-II,3,0,3,0,0,0,69.85,43.8586,65.6,34.6857,0
"Madhya Pradesh",Anuppur,PMGSY-III,15,1,12,1,3,0,156.181,99.98494,154.746,75.1335,0.36
"Madhya Pradesh",Anuppur,PM-JANMAN,62,0,0,0,62,0,154.565,111.6473,0,0,154.565
"Madhya Pradesh","Ashok Nagar",PMGSY-II,7,2,7,2,0,0,57.235,38.9466,56.171,35.6292,0
"Madhya Pradesh",Balaghat,PMGSY-II,13,5,11,5,2,0,152.395,91.9018,147.515,82.4429,4.6
"Madhya Pradesh",Balaghat,PMGSY-III,30,8,28,5,2,3,382.282,251.85357,376.547,146.013,2.4
"Madhya Pradesh",Betul,PMGSY-I,660,38,660,38,0,0,2682.815,922.72559,2551.232,944.487,0
"Madhya Pradesh",Betul,PMGSY-II,16,7,16,7,0,0,193.142,143.43732,188.772,131.6025,0
"Madhya Pradesh",Burhanpur,PMGSY-II,6,1,6,1,0,0,28.95,20.2889,28.88,16.6051,0
"Madhya Pradesh",Burhanpur,PMGSY-III,10,13,4,8,6,5,80.375,74.8902,69.217,33.2802,10.635
"Madhya Pradesh",Chhatarpur,PMGSY-II,17,5,17,5,0,0,121.83,74.59624,121.967,67.8781,0
"Madhya Pradesh",Dewas,PMGSY-III,19,28,17,15,2,13,235.752,178.94771,231.582,113.0085,1.35
"Madhya Pradesh",Dindori,PMGSY-I,444,4,444,4,0,0,1694.995,458.4714,1662.499,450.2527,0
"Madhya Pradesh",Guna,PMGSY-II,6,3,6,3,0,0,82.38,64.37521,80.237,57.459,0
"Madhya Pradesh",Guna,PMGSY-III,18,12,17,9,1,3,253.305,219.01579,240.611,160.5547,9.68
"Madhya Pradesh",Hoshangabad,PMGSY-I,302,6,302,6,0,0,1090.065,384.5404,1039.871,419.6596,0
"Madhya Pradesh",Hoshangabad,PMGSY-III,25,15,17,10,8,5,270.328,199.08407,235.786,133.726,30.22
"Madhya Pradesh",Jabalpur,PMGSY-I,298,14,298,12,0,2,1038.875,365.25971,988.98,356.2012,0
"Madhya Pradesh",Jabalpur,PMGSY-III,29,7,25,2,4,5,266.125,188.65052,241.732,112.158,21.055
"Madhya Pradesh",Jhabua,PMGSY-III,22,23,22,16,0,7,228.838,184.2143,227.726,136.5456,0
"Madhya Pradesh",Katni,PMGSY-II,7,2,7,2,0,0,85.295,49.5771,83.757,42.2851,0
"Madhya Pradesh",Khandwa,PMGSY-I,323,34,323,34,0,0,1300.552,455.78852,1185.083,409.7413,0
"Madhya Pradesh",Khandwa,PMGSY-III,27,33,13,14,14,19,272.342,229.7278,190.246,99.5044,80.662
"Madhya Pradesh",Khargone,PMGSY-II,9,12,9,11,0,1,176.148,135.58831,176.508,118.2883,0
"Madhya Pradesh",Mandla,PMGSY-I,544,9,544,8,0,1,1947.315,511.81466,1927.235,488.1591,0
"Madhya Pradesh",Mandla,RCPLWEA,2,3,2,3,0,0,8.675,13.00472,8.627,12.7727,0
"Madhya Pradesh",Mandla,PM-JANMAN,28,0,0,0,28,0,70.465,49.11254,0,0,70.465
"Madhya Pradesh",Mandsour,PMGSY-II,5,7,5,7,0,0,93.581,71.2707,90.562,64.2365,0
"Madhya Pradesh",Mandsour,PMGSY-III,7,13,7,11,0,2,192.736,169.80764,189.417,121.4772,0
"Madhya Pradesh",Morena,PMGSY-I,480,0,480,0,0,0,1710.924,422.0238,1531.952,346.5039,0
"Madhya Pradesh",Narsinghpur,PMGSY-I,325,12,324,12,1,0,1197.735,416.42779,1127.469,402.8182,13.1
"Madhya Pradesh",Raisen,PMGSY-III,30,17,22,10,8,7,276.24,242.95341,263.826,159.5988,12.119
"Madhya Pradesh",Rajgarh,PMGSY-III,14,12,10,9,4,3,232.3,201.83261,211.303,123.2425,16.5
"Madhya Pradesh",Sagar,PMGSY-I,519,24,519,22,0,2,1912.948,638.57422,1853.515,573.6238,0
"Madhya Pradesh",Satna,PMGSY-III,28,15,27,12,1,3,306.177,202.12398,296.371,150.282,5
"Madhya Pradesh",Shahdol,PMGSY-II,4,0,4,0,0,0,77.265,48.40597,77.335,41.6618,0
"Madhya Pradesh",Shajapur,PMGSY-III,12,31,10,19,2,12,170.64,175.35133,154.365,102.823,13.215
"Madhya Pradesh",Sheopur,PMGSY-II,3,24,3,24,0,0,61.2,75.27924,60.62,73.4555,0
"Madhya Pradesh",Sheopur,PM-JANMAN,9,0,0,0,9,0,18.97,14.48498,0,0,18.97
"Madhya Pradesh",Sidhi,PMGSY-III,18,2,16,1,2,1,192.8,119.032,161.083,69.0556,30.6
"Madhya Pradesh",Sidhi,PM-JANMAN,44,0,0,0,44,0,145.839,106.8566,0,0,145.839
"Madhya Pradesh",Singrauli,PM-JANMAN,15,0,0,0,15,0,50.74,36.19654,0,0,50.74
"Madhya Pradesh",Tikamgarh,PMGSY-III,23,4,23,1,0,3,215.698,159.14235,214.144,101.0182,0
"Madhya Pradesh",Ujjain,PMGSY-III,18,29,16,13,2,16,264.332,263.47195,258.313,178.4721,1.87
"Madhya Pradesh",Umaria,PMGSY-I,278,12,278,12,0,0,1304.785,394.06145,1248.706,408.0965,0
"Madhya Pradesh",Vidisha,PMGSY-III,22,18,17,13,5,5,277.336,236.84604,270.447,177.5391,1.601
Maharashtra,Ahmednagar,PMGSY-II,19,3,19,3,0,0,133.9,72.7943,126.53,68.16,0
Maharashtra,Akola,PMGSY-I,125,15,125,15,0,0,622.99,165.1223,607.89,162.5296,0
Maharashtra,Amrawati,PMGSY-III,28,26,24,0,4,26,180.125,181.98311,170.741,112.7921,6.57
Maharashtra,Chandrapur,PMGSY-III,23,19,17,0,6,19,164.166,180.99309,126.908,84.0535,35.568
Maharashtra,Latur,PMGSY-III,24,9,8,0,16,9,169.973,171.9307,113.699,94.751,56.374
Maharashtra,Raigad,PMGSY-II,9,0,9,0,0,0,59.569,27.5518,59.122,25.4363,0
Maharashtra,Raigad,PMGSY-III,24,0,1,0,23,0,122.355,102.66789,23.725,0,98.43
Maharashtra,Wardha,PMGSY-II,5,2,5,2,0,0,41.95,25.1131,41.95,23.3738,0
Manipur,Chandel,PMGSY-III,5,0,0,0,5,0,52.4,41.5295,0,0,52.4
Manipur,"Imphal East",PMGSY-I,242,35,242,25,0,10,522.193,367.55554,529.163,348.165,0
Manipur,Tamenglong,PMGSY-I,175,24,138,14,37,10,1697.24,796.65261,1600.725,651.6541,97.48
Manipur,Ukhrul,PMGSY-I,190,28,165,25,25,3,1866.304,817.54852,1641.723,744.7874,224.1
Manipur,Ukhrul,PMGSY-II,3,0,3,0,0,0,39,33.217,39,26.6118,0
Meghalaya,"East Garo Hills",PMGSY-III,15,8,0,0,15,8,93.738,114.14796,0.8,5.8518,92.938
Meghalaya,Jaintia,PMGSY-I,119,1,117,1,2,0,406.841,190.58205,390.968,171.922,8.313
Meghalaya,Jaintia,PMGSY-II,10,1,9,0,1,1,58.889,39.38488,53.065,35.5946,2.7
Meghalaya,Jaintia,PMGSY-III,20,14,0,0,20,14,196.194,276.73053,0,3.6578,196.194
Meghalaya,"South Garo Hills",PMGSY-I,34,18,30,18,4,0,129.993,183.4722,122.116,176.111,8.108
Meghalaya,"South Garo Hills",PMGSY-II,10,6,7,6,3,0,57.631,60.78697,53.231,48.3434,4.4
Mizoram,Kolasib,PMGSY-I,6,0,6,0,0,0,63.87,60.5714,63.87,51.7978,0
Mizoram,Lawngtlai,PMGSY-I,56,0,46,0,10,0,549.6,437.4462,540.73,406.2075,4.55
Mizoram,Serchhip,PMGSY-III,2,0,0,0,2,0,50.88,62.54132,0,0,50.88
Nagaland,Dimapur,PMGSY-I,19,2,19,2,0,0,181.51,39.1451,181.51,36.381,0
Nagaland,Dimapur,PMGSY-III,3,0,0,0,3,0,23.18,18.2512,0,0,23.18
Nagaland,Kohima,PMGSY-II,1,0,1,0,0,0,19.5,16.3006,19.5,16.3005,0
Nagaland,Niuland,PMGSY-I,6,0,6,0,0,0,57,14.0287,57,14.5873,0
Nagaland,Peren,PMGSY-II,1,1,1,1,0,0,17,19.1551,17,18.5634,0
Nagaland,Tseminyu,PMGSY-III,1,0,0,0,1,0,6,4.7399,0,0,6
Odisha,Angul,PMGSY-I,310,16,310,16,0,0,1411.008,600.14673,1340.386,564.0837,0
Odisha,Angul,PMGSY-II,13,0,13,0,0,0,92.675,41.2075,91.715,36.8161,0
Odisha,Balangir,PMGSY-III,56,22,35,12,21,10,391.311,267.13396,296.01,206.7355,87.396
Odisha,Bargarh,PMGSY-II,23,0,23,0,0,0,143.675,56.40737,140.469,48.4113,0
Odisha,Boudh,PMGSY-II,6,0,6,0,0,0,35.901,14.6532,35.71,13.4258,0
Odisha,Cuttack,PMGSY-II,38,0,38,0,0,0,176.735,82.10892,177.179,97.7685,0
Odisha,Cuttack,PMGSY-III,69,5,18,0,51,5,418.366,250.8376,245.846,134.1971,167.568
Odisha,Deogarh,PMGSY-II,4,0,4,0,0,0,35.9,15.437,36.726,14.8763,0
Odisha,Deogarh,PMGSY-III,14,3,14,1,0,2,90.01,62.88467,89.887,53.8367,0
Odisha,Dhenkanal,PMGSY-II,15,1,15,1,0,0,93.4,41.04391,91.985,38.4755,0
Odisha,Gajapati,PMGSY-I,397,4,396,4,1,0,1718.05,755.39607,1663.909,877.6709,2.5
Odisha,Ganjam,PMGSY-III,110,16,59,5,51,11,631.133,441.95485,450.458,294.3675,175.408
Odisha,Jagatsinghpur,PMGSY-II,10,0,10,0,0,0,71.56,35.974,71.53,28.2318,0
Odisha,Jagatsinghpur,PMGSY-III,40,0,13,0,27,0,238.588,131.20089,172.222,81.3824,66.457
Odisha,Jharsuguda,PMGSY-I,136,3,136,3,0,0,399.273,127.4554,392.113,119.349,0
Odisha,Kalahandi,PMGSY-II,33,8,33,8,0,0,152.462,106.4189,149.833,92.3227,0
Odisha,Kandhamal,PMGSY-II,27,0,27,0,0,0,144.974,58.3083,142.047,49.4905,0
Odisha,Kandhamal,PMGSY-III,53,3,47,3,6,0,355.132,205.6077,311.722,178.0457,34.61
Odisha,Keonjhar,PMGSY-I,780,22,780,21,0,1,3149.791,1258.3727,3065.982,1284.7914,0
Odisha,Malkangiri,PM-JANMAN,1,0,0,0,1,0,9.5,8.6044,0,0,9.5
Odisha,Mayurbhanj,PMGSY-I,1263,32,1263,32,0,0,4546.134,1828.07024,4349.94,1866.873,0
Odisha,Nayagarh,PMGSY-III,41,4,20,1,21,3,253.776,163.30212,155.954,104.296,95.358
Odisha,Puri,PMGSY-III,40,1,23,0,17,1,293.841,174.94112,251.507,140.0853,38.343
Odisha,Rayagada,PMGSY-I,602,21,602,21,0,0,3094.46,1241.08408,2942.946,1280.1645,0
Odisha,Rayagada,PMGSY-II,14,2,14,2,0,0,146.69,67.22425,149.158,57.6579,0
Odisha,Rayagada,PM-JANMAN,14,0,0,0,14,0,41.02,39.09,0,0,41.02
Odisha,Sambalpur,PMGSY-I,544,23,544,23,0,0,1940.8,781.03568,1878.653,737.9143,0
Odisha,Sambalpur,PMGSY-II,9,1,9,1,0,0,85.98,41.51148,85.892,41.1928,0
Odisha,Sonepur,PMGSY-II,19,1,19,1,0,0,73.086,36.7171,71.652,33.5135,0
Punjab,"Fatehgarh Sahib",PMGSY-I,21,0,21,0,0,0,197.24,75.87,197.24,72.714,0
Punjab,"Fatehgarh Sahib",PMGSY-II,5,0,5,0,0,0,51.01,34.3095,51.01,23.6177,0
Punjab,Fazilka,PMGSY-I,54,0,54,0,0,0,355.07,133.6194,355.065,125.5614,0
Punjab,Firozpur,PMGSY-I,45,0,45,0,0,0,372.25,150.1196,372.25,141.0121,0
Punjab,Gurdaspur,PMGSY-III,31,2,8,0,23,2,260.325,225.6335,75.37,44.9927,182.215
Punjab,Hoshiarpur,PMGSY-I,50,0,50,0,0,0,517.305,192.6273,516.616,170.6915,0
Punjab,Kapurthala,PMGSY-III,10,0,4,0,6,0,83.46,56.04457,31.51,13.7131,51.95
Punjab,Ludhiana,PMGSY-II,12,0,12,0,0,0,132.74,83.1042,132.56,83.1156,0
Punjab,Ludhiana,PMGSY-III,29,3,26,0,3,3,346.892,293.76819,318.605,242.1633,28.19
Punjab,Nawashahar,PMGSY-II,1,0,1,0,0,0,8.38,6.1408,5.7,2.8514,0
Rajasthan,Alwar,PMGSY-III,24,0,22,0,2,0,197.842,112.27441,190.743,87.1725,4.063
Rajasthan,Anoopgarh,PMGSY-II,4,0,4,0,0,0,36.75,13.5402,36.75,10.4664,0
Rajasthan,Balotra,PMGSY-III,15,0,14,0,1,0,186.55,79.61938,181.05,56.5043,1
Rajasthan,Banswara,PMGSY-III,23,2,22,2,1,0,172.34,113.42684,166.43,64.7168,1.5
Rajasthan,Baran,PMGSY-II,11,0,11,0,0,0,99.745,45.27195,99.799,40.3299,0
Rajasthan,Barmer,PMGSY-III,23,3,23,3,0,0,252.905,145.33419,252.005,107.4358,0
Rajasthan,Beawar,PMGSY-III,16,0,13,0,3,0,160.4,82.10855,160.4,46.206,0
Rajasthan,Bundi,PMGSY-III,23,5,22,1,1,4,177.383,130.0819,164.07,79.4106,7.5
Rajasthan,Churu,PMGSY-III,23,0,19,0,4,0,222.74,128.83,208.78,91.6268,15.89
Rajasthan,Deeg,PMGSY-I,166,0,166,0,0,0,571.39,109.0053,553.75,103.8543,0
Rajasthan,"Didwana Kuchaman",PMGSY-III,15,0,0,0,15,0,141.75,90.3914,24.25,6.2624,117.5
Rajasthan,Dudu,PMGSY-I,123,0,123,0,0,0,529.015,118.47,528.608,106.1774,0
Rajasthan,Gangapurcity,PMGSY-I,188,3,188,3,0,0,687.88,145.3342,648.165,133.4189,0
Rajasthan,"Jaipur Gramin",PMGSY-II,16,0,16,0,0,0,140.117,65.8536,140.122,49.8935,0
Rajasthan,Jalor,PMGSY-I,262,0,262,0,0,0,1158.58,233.8134,1139.21,217.6666,0
Rajasthan,Jhalawar,PMGSY-I,381,0,381,0,0,0,1489.68,338.9605,1438.64,304.427,0
Rajasthan,Jhalawar,PMGSY-II,11,0,11,0,0,0,82.2,33.0644,82.2,27.3474,0
Rajasthan,"Jodhpur Gramin",PMGSY-II,11,1,11,1,0,0,110.5,49.1458,110.5,35.7793,0
Rajasthan,Karauli,PMGSY-II,6,0,6,0,0,0,40.75,13.1662,40.75,9.5125,0
Rajasthan,Kekri,PMGSY-I,53,0,53,0,0,0,181.63,26.6512,175.23,23.3782,0
Rajasthan,"Neem Ka Thana",PMGSY-I,337,0,337,0,0,0,1126.9,304.9025,1086.897,255.7963,0
Rajasthan,Phalodi,PMGSY-I,351,0,351,0,0,0,1951.21,321.9473,1898.56,288.2432,0
Rajasthan,Rajsamand,PMGSY-I,369,0,369,0,0,0,1338.56,306.3419,1347.99,270.2181,0
Rajasthan,Rajsamand,PMGSY-II,11,0,11,0,0,0,98,47.70859,98,33.7092,0
Rajasthan,Shahpura,PMGSY-I,274,0,274,0,0,0,1021.57,190.7677,980.325,174.3442,0
Rajasthan,Shahpura,PMGSY-II,8,0,8,0,0,0,69.725,30.42843,69.725,26.1442,0
Rajasthan,Sikar,PMGSY-II,7,0,7,0,0,0,83.19,42.9649,83.19,34.6832,0
Rajasthan,Sirohi,PMGSY-II,11,0,11,0,0,0,69.85,23.6464,69.85,18.8877,0
Rajasthan,Tonk,PMGSY-I,267,0,267,0,0,0,1190.87,225.0534,1135.969,211.1968,0
Rajasthan,Tonk,PMGSY-II,10,0,10,0,0,0,84.075,40.187,84.075,32.0331,0
Sikkim,East,PMGSY-I,175,21,168,19,7,2,705.099,355.3692,672.643,334.6981,15.717
Sikkim,East,PMGSY-III,3,0,0,0,3,0,21.05,21.5302,0,1.791,21.05
Sikkim,Pakyong,PMGSY-III,5,0,0,0,5,0,24.41,18.01042,0,0,24.41
Sikkim,"West Sikkim",PMGSY-I,114,17,102,10,12,7,739.951,379.2239,684.941,342.2934,44.825
Sikkim,"West Sikkim",PMGSY-III,6,0,0,0,6,0,35.6,31.59256,0,0,35.6
"Tamil Nadu",Ariyalur,PMGSY-III,12,0,10,0,2,0,47.521,20.2326,39.923,15.0051,7.6
"Tamil Nadu",Cuddalore,PMGSY-I,244,1,244,1,0,0,482.917,116.79269,468.895,199.877,0
"Tamil Nadu",Kanchipuram,PMGSY-I,161,1,161,1,0,0,357.335,86.51455,357.685,77.6514,0
"Tamil Nadu",Kanchipuram,PMGSY-II,14,5,14,5,0,0,49.11,25.4898,49.29,26.8983,0
"Tamil Nadu",Kanchipuram,PMGSY-III,11,0,6,0,5,0,33.818,18.3445,17.101,7.6299,16.717
"Tamil Nadu",Kanniyakumari,PMGSY-I,106,0,106,0,0,0,140.055,29.9809,135.943,18.8029,0
"Tamil Nadu",Kanniyakumari,PMGSY-II,1,0,1,0,0,0,1.85,0.8478,1.85,0.8683,0
"Tamil Nadu",Madurai,PMGSY-II,36,0,36,0,0,0,125.62,45.16382,125.62,48.7631,0
"Tamil Nadu",Mayiladuthurai,PMGSY-I,255,6,255,6,0,0,471.007,243.27293,468.107,230.6614,0
"Tamil Nadu",Pudukkottai,PMGSY-I,317,2,317,2,0,0,734.32,217.13178,734.418,175.4299,0
"Tamil Nadu",Pudukkottai,PMGSY-II,17,0,17,0,0,0,92.88,37.80413,92.967,39.9942,0
"Tamil Nadu",Salem,PMGSY-I,304,5,304,5,0,0,630.305,184.66714,619.565,196.6479,0
"Tamil Nadu",Salem,PMGSY-II,6,0,6,0,0,0,21.955,9.72781,21.955,11.008,0
"Tamil Nadu",Thanjavur,PMGSY-III,28,1,19,0,9,1,105.676,61.92325,71.271,37.8764,34.405
"Tamil Nadu","The Nilgiris",PMGSY-III,17,0,2,0,15,0,68.005,70.5887,8.3,10.8567,59.705
"Tamil Nadu",Tiruchirappalli,PMGSY-II,20,0,20,0,0,0,85.865,29.46129,85.865,23.7441,0
"Tamil Nadu",Tirupathur,PMGSY-I,83,0,83,0,0,0,150.546,38.27071,150.421,-69.0977,0
"Tamil Nadu",Tiruppur,PMGSY-II,18,0,18,0,0,0,51.063,20.64843,51.063,21.4199,0
"Tamil Nadu",Tiruvallur,PMGSY-II,12,0,12,0,0,0,40.435,13.93617,40.435,13.8781,0
"Tamil Nadu",Tiruvannamalai,PMGSY-III,195,7,94,1,101,6,811.576,502.22232,369.736,218.5793,441.851
"Tamil Nadu",Vellore,PMGSY-III,26,0,18,0,8,0,128.1,77.69685,61.15,35.2847,66.68
"Tamil Nadu",Villupuram,PMGSY-II,46,0,46,0,0,0,143.063,56.50137,142.868,59.5999,0
Telangana,"Jayashankar Bhoopalapally",PMGSY-III,3,0,0,0,3,0,26.067,19.118,0.1,11.1159,25.967
Telangana,Karimnagar,PMGSY-I,65,7,65,7,0,0,170.461,30.67287,170.612,49.1757,0
Telangana,Khammam,PMGSY-III,16,7,4,2,12,5,115.803,99.76101,99.703,68.2854,15.62
Telangana,"Komrambheem Asifabad",PMGSY-III,6,2,3,2,3,0,41.09,25.49702,22.939,8.0615,17.2
Telangana,Mahaboobnagar,PMGSY-II,3,0,3,0,0,0,21.7,13.1705,19.126,9.0315,0
Telangana,Mahabubabad,PMGSY-I,177,6,175,6,2,0,418.395,163.28082,402.179,204.4024,10.56
